node,year_construction,capacity_existing
DE,1960.0,1.1140474997694916
DE,1969.0,3.018547421016939
DE,1970.0,1.1775296282327576
DE,1971.0,0.5960770755224217
DE,1973.0,4.0574349899353805
DE,1974.0,17.158288868534466
DE,1975.0,31.646348570942802
DE,1976.0,35.3103726910334
DE,1977.0,3.206483578672337
DE,1979.0,6.368569692409216
DE,1980.0,10.152220315242571
DE,1982.0,9.101480311769942
DE,1983.0,3.3996947686692636
DE,1985.0,3.5517971948370506
DE,1986.0,13.392413080254796
DE,1991.0,3.3996947686692636
DE,1992.0,5.821000958205166
DE,1993.0,36.652573830054564
DE,1996.0,12.513507709587941
DE,1997.0,8.844550537837874
DE,2000.0,6.55684783074664
DE,2001.0,3.996247218109494
DE,2002.0,9.537233208358748
DE,2007.0,7.169368411800712
DE,2008.0,6.81172216648726
DE,2012.0,42.01932294794783
DE,2013.0,4.908386401198425
DE,2020.0,9.307846306192198
